obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur
POR-1861,82125b43-1e42-11e4-b4cd-db5882bf8def,235,POR,Luis I,1861-11-11,1889-10-19,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1838,1889,NA,NA,NA,0,2,0,-777,NA,NA
ITA-1878-1,821875e1-1e42-11e4-b4cd-db5882bf8def,325,ITA,Cairoli,1878-03-23,1878-12-09,Regular,Regular,Regular,0,OK,M,1825,1889,NA,NA,http://dbpedia.org/resource/Benedetto_Cairoli,0,1,0,0,NA,NA
ITA-1879,821875e1-1e42-11e4-b4cd-db5882bf8def,325,ITA,Cairoli,1879-07-12,1881-05-14,Regular,Regular,Regular,1,OK,M,1825,1889,NA,NA,http://dbpedia.org/resource/Benedetto_Cairoli,0,1,0,0,NA,NA
ETH-1871,82335b32-1e42-11e4-b4cd-db5882bf8def,530,ETH,Yohannes IV,1871-07-11,1889-03-09,Irregular,Irregular,Unknown,0,Death,M,1837,1889,NA,NA,NA,1,3,-999,3,NA,NA
VNM-1885,824bc5b7-1e42-11e4-b4cd-db5882bf8def,815,VNM,Dong Khanh,1885-10-14,1889-01-28,Foreign Imposition,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1864,1889,NA,NA,NA,2,2,0,-777,NA,NA
SAL-1885,81e7a0e7-1e42-11e4-b4cd-db5882bf8def,92,SAL,Menendez,1885-05-22,1890-06-22,Irregular,Irregular,Unknown,0,OK,M,1830,1890,NA,NA,NA,1,3,-999,0,NA,NA
CAN-1878,197110a8-3bbd-11e5-afeb-eb6f07f9fec7,20,CAN,Macdonald,1878-10-17,1891-06-06,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1815,1891,NA,1891-06-06,http://dbpedia.org/resource/John_A._Macdonald,0,2,0,-777,NA,NA
HAI-1957-3,81e03077-1e42-11e4-b4cd-db5882bf8def,41,HAI,Executive council,1957-04-06,1957-05-20,Regular,Regular,Regular,0,OK,M,-999,-999,NA,NA,NA,0,1,0,0,NA,NA
BRA-1840,81fab41b-1e42-11e4-b4cd-db5882bf8def,140,BRA,Pedro II,1840-07-23,1889-11-15,Regular,Irregular,Unknown,0,Exile,M,1825,1891,1825-12-02,1891-12-05,http://dbpedia.org/resource/Pedro_II_of_Brazil,0,3,-999,1,NA,NA
CHL-1886,82000b5f-1e42-11e4-b4cd-db5882bf8def,155,CHL,Balmaceda,1886-09-18,1891-08-28,Regular,Irregular,Unknown,0,Exile,M,1840,1891,1840-07-19,NA,http://dbpedia.org/resource/Jos%C3%A9_Manuel_Balmaceda,0,3,-999,1,NA,NA
URU-1879-1,8204d031-1e42-11e4-b4cd-db5882bf8def,165,URU,Francisco Antonino Vidal,1879-02-14,1879-03-01,Regular,Regular,Regular,0,OK,M,1827,1891,NA,NA,NA,0,1,0,0,NA,NA
URU-1880,8204d031-1e42-11e4-b4cd-db5882bf8def,165,URU,Francisco Antonino Vidal,1880-03-15,1882-02-28,Regular,Irregular,Unknown,1,OK,M,1827,1891,NA,NA,NA,0,3,-999,0,NA,NA
HAI-1971,81e06149-1e42-11e4-b4cd-db5882bf8def,41,HAI,"Duvalier, Jean-Claude",1971-04-22,1986-02-07,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1951,-777,1951-07-03,NA,http://dbpedia.org/resource/Jean-Claude_Duvalier,0,3,6,1,"Son of Duvalier, Francois%81e06148-1e42-11e4-b4cd-db5882bf8def",NA
HAI-1986,81e0614a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Namphy,1986-02-07,1988-02-07,Irregular,Regular,Regular,0,Imprisonment,M,1932,-777,1932-11-02,NA,http://dbpedia.org/resource/Henri_Namphy,1,1,0,2,NA,NA
HAI-1988-1,81e0921a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Manigat,1988-02-07,1988-06-20,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1930,-777,1930-08-16,NA,http://dbpedia.org/resource/Leslie_Manigat,0,3,6,1,NA,NA
HAI-1988-2,81e0614a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Namphy,1988-06-20,1988-09-17,Irregular,Irregular,"Removed by Military, without Foreign Support",1,Exile,M,1932,-777,1932-11-02,NA,http://dbpedia.org/resource/Henri_Namphy,1,3,6,1,NA,NA
HAI-1988-3,81e0921b-1e42-11e4-b4cd-db5882bf8def,41,HAI,Avril,1988-09-17,1990-03-10,Irregular,Irregular,"Popular Protest, without Foreign Support",0,Exile,M,1938,-777,NA,NA,NA,1,3,2,1,NA,NA
HAI-1990-1,81e0921c-1e42-11e4-b4cd-db5882bf8def,41,HAI,Abraham,1990-03-10,1990-03-13,Regular,Regular,Regular,0,OK,M,1940,-777,NA,NA,http://dbpedia.org/resource/H%C3%A9rard_Abraham,0,1,0,0,NA,NA
HAI-1990-2,81e0921d-1e42-11e4-b4cd-db5882bf8def,41,HAI,Pascal-Troillet,1990-03-13,1991-02-07,Regular,Regular,Regular,0,Imprisonment,F,1943,-777,1943-08-13,NA,http://dbpedia.org/resource/Ertha_Pascal-Trouillot,0,1,0,2,NA,NA
